2025-03-19 14:46:08 INFO  t.r.j.JwtAuthApplication$$SpringCGLIB$$0 - TEST SECURITY LOG - Should appear in security log
2025-03-19 14:46:09 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "41f5b" for domain: app1
2025-03-19 14:46:09 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "8587a" for domain: default
2025-03-19 14:46:09 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "41f5b" for user admin1 in domain: app1
2025-03-19 14:46:09 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "41f5b" for user user1 in domain: app1
2025-03-19 14:46:09 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "41f5b" for user user2 in domain: app1
2025-03-19 14:46:10 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "41f5b" for user user3 in domain: app1
2025-03-19 14:46:10 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "41f5b" for user manager1 in domain: app1
2025-03-19 14:46:43 INFO  t.r.j.JwtAuthApplication$$SpringCGLIB$$0 - TEST SECURITY LOG - Should appear in security log
2025-03-19 14:46:44 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "9a0ff" for domain: app1
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "42912" for domain: default
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "9a0ff" for user admin1 in domain: app1
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "9a0ff" for user user1 in domain: app1
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "9a0ff" for user user2 in domain: app1
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "9a0ff" for user user3 in domain: app1
2025-03-19 14:46:45 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "9a0ff" for user manager1 in domain: app1
2025-03-19 14:48:46 INFO  t.r.j.JwtAuthApplication$$SpringCGLIB$$0 - TEST SECURITY LOG - Should appear in security log
2025-03-19 14:48:49 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "98a7a" for domain: app1
2025-03-19 14:48:49 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Created random default pin "ba087" for domain: default
2025-03-19 14:48:49 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "98a7a" for user admin1 in domain: app1
2025-03-19 14:48:49 INFO  t.r.jwt.service.DatabaseInitService - IMPORTANT INFORMATION: Using DOMAIN DEFAULT pin "98a7a" for user user1 in domain: app1
